CODE,NAME,GRADE
10,门店通APP资源根节点,1
100,数据,2
100001,经营概况,3
100002,周边竞品,3
100003,点评数据,3
100004,会员画像,3
101,工作台,2
101001,酒店运营管理,3
1010010001,房价管理/营销活动,3
1010010002,订单查询,4
1010010003,房态信息,4
1010010004,酒店信息,4
1010010005,酒店图片,4
1010010006,客房清扫,4
1010010007,巡查报告,4
1010010008,代客预订,4
101002,会员营销,3
1010020001,门店会员,4
1010020002,优惠券发放,4
1010020003,优惠券核销,4
1010020004,我发展的会员,4
1010020005,销售员业绩,4
1010020006,礼包订单,4
101003,企业商旅,3
101003001,企业会员注册,4
101003002,企业会员查询,4
101003003,企业会员预订,4
101004,评价管理,3
101004001,工单管理,4
101004002,点评管理,4
101005,高校渠道,3
101005001,高校礼包,4
101005002,微信会员卡,4
101006,运营巡查,3
101006001,运营巡查,4
101006002,巡查记录,4
101007,地虎巡店,3
101007001,巡店质检,4
101007002,巡店记录,4
101007003,巡店报告,4
101007004,日报,4
101007005,拓展项目,4
101007006,战区数据,4
101007007,区域数据,4
101007008,门店数据,4
101008,WeSmart,3
101008001,WeSmart,4
102,发展会员,2
103,员工专区,2
104,我的,2
104001,WE奖励,3
104002,我的店员,3
